ticker,company_role,event_type,direction,confidence,materiality,novelty,source_type,published_date,source_url,event_cluster_id,human_review_required,score_deltas,raw_text
MGNX,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT04582864,c82c200b35ad,False,"{'asset_quality': -0.271788125, 'seller_willingness': 0.1261435}",MGNX Phase 2 trial discontinued terminated withdrawn Flotetuzumab for Relapsed Acute Myeloid Leukemia (AML) and Myelodysplastic Syndrome (MDS) Following Allogeneic Hematopoietic Cell Transplantation (
ERAS,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT04294160,0271d2618afc,False,"{'asset_quality': -0.24671525, 'seller_willingness': 0.11499999999999999}",ERAS Phase 1 trial discontinued terminated withdrawn A Study of Select Drug Combinations in Adult Patients With Advanced/Metastatic BRAF V600 Colorectal Cancer NCT04294160
ERAS,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT02974725,0271d2618afc,False,"{'asset_quality': -0.24671525, 'seller_willingness': 0.11499999999999999}",ERAS Phase 1 trial discontinued terminated withdrawn A Phase Ib Study of LXH254-centric Combinations in NSCLC or Melanoma NCT02974725
ERAS,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT02607813,0271d2618afc,False,"{'asset_quality': -0.24671525, 'seller_willingness': 0.11499999999999999}",ERAS Phase 1 trial discontinued terminated withdrawn Phase I Study of LXH254 in Patients With Advanced Solid Tumors Haboring MAPK Pathway Alterations NCT02607813
NUVB,target,clinical_positive_ph2,positive,0.95,0.682,0.4,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT04919811,c68e23a8fa3f,False,"{'asset_quality': 0.076475, 'catalyst_timing': 0.03277499999999999}",NUVB Phase 2 trial active enrollment complete Taletrectinib Phase 2 Global Study in ROS1 Positive NSCLC NCT04919811
PRME,target,clinical_negative_ph3,negative,0.969,1.0,0.7,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT00872001,ca0b51ee5698,True,"{'asset_quality': -0.37374999999999997, 'seller_willingness': 0.0823722}",PRME Phase 3 trial discontinued terminated withdrawn The Effect Of Acadesine On Reducing Cardiovascular and Cerebrovascular Adverse Events In Coronary Artery Bypass Graft (CABG) Surgery (Study P05633 
PRME,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT01016795,d2e96834c29b,False,"{'asset_quality': -0.271788125, 'seller_willingness': 0.1261435}",PRME Phase 2 trial discontinued terminated withdrawn Stem Cell Factor (SCF) Priming of Haematopoietic Stem Cell Grafts in Malignant Lymphoma NCT01016795
AUPH,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT00689767,a1bd9432bb27,False,"{'asset_quality': -0.25785874999999997, 'seller_willingness': 0.11499999999999999}",AUPH NA trial discontinued terminated withdrawn COronary Native Artery First in Man Investigation of ISA 247 Elution to Prevent Restenotic Mechanisms (CONFIRM 1) NCT00689767
AUPH,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT05306873,1fce560994cc,False,"{'asset_quality': -0.271788125, 'seller_willingness': 0.1261435}",AUPH Phase 2 trial discontinued terminated withdrawn Examining Distinct Immunophenotypes to Validate and Enhance Rational Treatment in Systemic Lupus NCT05306873
AUPH,target,clinical_negative_ph3,negative,0.969,1.0,0.7,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT01586845,79ae7c42f1a6,True,"{'asset_quality': -0.37374999999999997, 'seller_willingness': 0.0823722}",AUPH Phase 3 trial discontinued terminated withdrawn Safety and Efficacy Study of Voclosporin and Tacrolimus in Transplantation NCT01586845
AUPH,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT03598036,1fce560994cc,False,"{'asset_quality': -0.3533245625, 'seller_willingness': 0.0756861}",AUPH Phase 2 trial discontinued terminated withdrawn Dose-Exploration Evaluating the Efficacy and Safety of Voclosporin in Subjects With Focal Segmental Glomerulosclerosis NCT03598036
AUPH,target,clinical_negative_ph3,negative,0.969,1.0,0.7,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT05962788,79ae7c42f1a6,True,"{'asset_quality': -0.2875, 'seller_willingness': 0.137287}",AUPH Phase 3 trial discontinued terminated withdrawn Long-Term Voclosporin Treatment in Adolescent and Pediatric Subjects With Lupus Nephritis NCT05962788
